,SIR_original,SIR_SOI_pilot,imp_SIR_SOI_pilot,SIR_ones_pilot,imp_SIR_ones_pilot,SIR_X_pilot,imp_SIR_X_pilot,SIR_label_pilot,imp_SIR_label_pilot
0,0.04375324028449924,5.035898012989652,4.992144772705152,3.73076417265326,3.6870109323687608,3.7452407547001894,3.7014875144156902,4.897082731595621,4.853329491311121
1,2.3657597249496094,7.792520633091732,5.426760908142122,7.3006453076506155,4.934885582701006,7.245114623961351,4.879354899011742,8.08694295699519,5.72118323204558
2,2.1259063875485342,10.518183935213798,8.392277547665264,9.429162904423082,7.303256516874548,9.391805317996788,7.2658989304482535,10.300208980831089,8.174302593282555
3,1.2888733375895427,8.405973737284357,7.117100399694815,8.425882510079068,7.137009172489526,5.383517703327665,4.094644365738122,9.11337215901291,7.824498821423367
4,2.263182385356882,7.4387982290328445,5.1756158436759625,2.749002009683761,0.48581962432687886,2.4945781578258273,0.23139577246894527,7.745416391491212,5.48223400613433
5,4.411421272298334,6.880349435021539,2.4689281627232047,1.571149156781695,-2.8402721155166386,6.039376350230247,1.6279550779319134,7.296146387680952,2.8847251153826177
6,2.9206667161823274,7.686792132713095,4.766125416530768,-1.3888661038118113,-4.309532819994139,5.275937500581912,2.3552707843995844,8.486947501282108,5.566280785099781
7,0.8757859960259065,7.185593907256075,6.309807911230168,-1.2228640094247523,-2.0986500054506587,-1.6753238709758924,-2.5511098670017986,8.504021099910304,7.628235103884397
8,3.339368683141596,6.1475861877611635,2.8082175046195674,4.009315205962559,0.6699465228209629,5.074776492021185,1.7354078088795886,6.657748402210602,3.3183797190690063
9,1.3913864231911865,6.247465644642137,4.85607922145095,5.11245213180059,3.7210657086094034,5.529914407929686,4.1385279847384995,6.593629693231264,5.202243270040078
10,3.1331461627640786,8.75972899067675,5.626582827912672,8.10227929700931,4.969133134245232,8.184043280144541,5.050897117380463,8.53469081428495,5.401544651520871
11,0.5320756013135362,4.652303096100861,4.120227494787326,3.109282724496088,2.5772071231825517,3.288353049225038,2.756277447911502,4.667432851016325,4.135357249702789
12,1.4282439578717363,8.249944786294028,6.821700828422292,7.456153373667639,6.027909415795902,5.423306225571853,3.9950622677001166,8.667227099081012,7.238983141209276
13,0.1605695392349124,5.332345982536344,5.1717764433014315,4.32164660101812,4.161077061783208,3.3293983638388203,3.168828824603908,5.527536812579972,5.366967273345059
14,3.217457416690696,11.144550796964548,7.927093380273853,10.256097431766912,7.038640015076217,10.244423948911436,7.02696653222074,10.940875243372243,7.723417826681548
15,1.3486656176756875,4.981479068184771,3.6328134505090834,-5.211735161737089,-6.560400779412776,-3.328135014170624,-4.676800631846311,6.171798324643227,4.82313270696754
16,3.4763495099565347,8.369609431542127,4.893259921585592,8.021986972238418,4.545637462281883,7.746763620355461,4.270414110398926,8.433831753322568,4.957482243366034
17,4.760865420954516,9.788048182472473,5.027182761517957,9.132295266432024,4.3714298454775085,9.370984341002423,4.610118920047907,9.837521414690515,5.076655993736
18,1.7682405130029304,6.7895040594404055,5.021263546437475,6.667531644905244,4.899291131902314,6.293240538868186,4.525000025865255,6.792469865607899,5.024229352604968
19,4.564163783938389,8.356898033260245,3.7927342493218568,8.210024250001597,3.6458604660632083,8.161842387982134,3.597678604043745,8.482726869989737,3.918563086051348
20,2.5681311853834505,8.288633933550699,5.720502748167249,7.623827463697207,5.055696278313757,6.7552779732550485,4.1871467878715976,8.53386328276757,5.9657320973841195
21,2.7499819118052002,13.021451107562491,10.271469195757291,12.645847634288554,9.895865722483354,12.60931147815727,9.85932956635207,12.940289219743518,10.190307307938317
22,3.965723983082055,10.693523129109819,6.727799146027763,8.555304020199694,4.5895800371176385,7.4898155921238665,3.5240916090418115,10.397652597567076,6.43192861448502
23,2.260431386739567,7.8586139698046855,5.598182583065118,7.538776754800114,5.278345368060547,7.012085785453285,4.751654398713718,7.8018627192201215,5.541431332480554
24,2.978609027247649,7.04378689765927,4.065177870411621,1.6346559138994659,-1.3439531133481832,4.561726709068533,1.5831176818208839,6.636156177317146,3.6575471500694965
25,1.3798234352187038,5.976037245437459,4.596213810218755,4.408713717626602,3.0288902824078985,5.042703265239986,3.662879830021282,6.00186957503479,4.622046139816086
26,0.18449778687504487,6.965568392617373,6.781070605742328,6.107499668823006,5.923001881947961,5.728017402916125,5.54351961604108,6.93993330683949,6.755435519964445
27,3.6920886896245593,7.341983111491645,3.649894421867086,3.907495147909294,0.21540645828473481,5.892114465546024,2.200025775921465,8.154985723168828,4.462897033544269
28,0.0019324017816924575,5.9900365606352235,5.988104158853531,5.100478614424921,5.098546212643228,5.063382170937562,5.061449769155869,6.1805819226994,6.178649520917707
29,1.2012187995099002,9.331386417388533,8.130167617878632,8.631705393505346,7.430486593995446,8.774334661050416,7.573115861540516,9.09180390676157,7.8905851072516695
30,0.038731047277862356,4.363418410301188,4.324687363023326,3.79923433945439,3.760503292176528,3.4048693863664043,3.366138339088542,4.253578916414188,4.214847869136326
31,4.669681096011493,12.511164026391882,7.841482930380389,6.904432752417906,2.234751656406413,6.998475774198822,2.3287946781873297,13.278047111049682,8.60836601503819
32,0.2297067840209649,14.788239946388185,14.558533162367219,14.884438813085858,14.654732029064892,8.419048341783494,8.189341557762528,19.11879740587605,18.889090621855086
33,0.8334955671409656,14.08473810454652,13.251242537405554,10.710327650035456,9.87683208289449,12.087703491963868,11.254207924822902,12.541477139193397,11.70798157205243
34,3.6596519905985874,7.60556238241451,3.9459103918159224,7.392651172778839,3.7329991821802517,7.223425754145078,3.5637737635464903,7.538206975402328,3.878554984803741
